Date,Tmax,Tmin,Tavg,Prcp,Wspd,Wdir,Estacion,Provincia,Pais
2024-01-01,28.5,18.2,23.3,2.5,67.7,Norte,Juan Santamaria,Alajuela,Costa Rica
2024-01-02,29.0,18.0,23.3,0.0,92.5,Norte,Juan Santamaria,Alajuela,Costa Rica
2024-01-03,30.5,18.0,23.4,0.0,43.9,Norte,Juan Santamaria,Alajuela,Costa Rica
2024-01-04,30.5,15.9,23.1,0.9,52.9,Norte,Juan Santamaria,Alajuela,Costa Rica
2024-01-05,31.2,15.9,23.7,0.6,63.7,Norte,Juan Santamaria,Alajuela,Costa Rica
2024-01-06,29.7,15.1,22.8,0.0,46.1,Norte,Juan Santamaria,Alajuela,Costa Rica
2024-01-07,29.3,15.1,22.9,0.0,87.1,Norte,Juan Santamaria,Alajuela,Costa Rica
2024-01-08,29.3,20.0,23.7,0.0,77.8,Norte,Juan Santamaria,Alajuela,Costa Rica
2024-01-09,29.3,18.3,23.6,0.0,49.0,Norte,Juan Santamaria,Alajuela,Costa Rica
2024-01-10,31.0,20.7,24.1,0.5,40.3,Norte,Juan Santamaria,Alajuela,Costa Rica
2024-01-11,31.5,18.3,23.9,4.2,43.2,Norte,Juan Santamaria,Alajuela,Costa Rica
2024-01-12,29.7,18.8,23.6,1.8,37.4,Norte,Juan Santamaria,Alajuela,Costa Rica
2024-01-13,29.6,18.7,23.2,2.5,34.9,Norte,Juan Santamaria,Alajuela,Costa Rica
2024-01-14,29.5,18.6,24.1,0.5,64.1,Norte,Juan Santamaria,Alajuela,Costa Rica
2024-01-15,29.5,18.6,24.1,0.0,72.0,Norte,Juan Santamaria,Alajuela,Costa Rica
2024-01-16,30.1,16.9,24.3,0.6,72.4,Norte,Juan Santamaria,Alajuela,Costa Rica
2024-01-17,30.7,16.9,24.6,0.0,113.0,Norte,Juan Santamaria,Alajuela,Costa Rica
2024-01-18,30.0,22.0,24.9,0.0,106.6,Norte,Juan Santamaria,Alajuela,Costa Rica
2024-01-19,30.8,21.2,24.9,0.0,82.1,Norte,Juan Santamaria,Alajuela,Costa Rica
2024-01-20,31.2,19.7,24.3,0.0,85.3,Norte,Juan Santamaria,Alajuela,Costa Rica
2024-01-21,30.9,19.7,23.9,0.0,109.1,Norte,Juan Santamaria,Alajuela,Costa Rica
2024-01-22,29.0,21.0,24.2,0.0,118.1,Norte,Juan Santamaria,Alajuela,Costa Rica
2024-01-23,29.6,21.0,24.2,0.0,103.0,Norte,Juan Santamaria,Alajuela,Costa Rica
2024-01-24,29.4,20.3,24.3,0.0,70.6,Norte,Juan Santamaria,Alajuela,Costa Rica
2024-01-25,30.8,20.3,25.2,0.0,72.0,Norte,Juan Santamaria,Alajuela,Costa Rica
2024-01-26,31.4,21.2,24.4,0.3,78.8,Norte,Juan Santamaria,Alajuela,Costa Rica
2024-01-27,31.0,19.5,24.1,0.0,55.1,Norte,Juan Santamaria,Alajuela,Costa Rica
2024-01-28,31.5,19.5,23.8,0.0,97.9,Norte,Juan Santamaria,Alajuela,Costa Rica
2024-01-29,29.5,20.0,23.7,0.0,115.2,Norte,Juan Santamaria,Alajuela,Costa Rica
2024-01-30,28.9,19.6,22.8,0.0,120.2,Norte,Juan Santamaria,Alajuela,Costa Rica
2024-01-31,28.9,19.6,23.4,0.0,103.3,Norte,Juan Santamaria,Alajuela,Costa Rica
2024-02-01,29.4,20.0,23.4,0.0,86.8,Norte,Juan Santamaria,Alajuela,Costa Rica
2024-02-02,30.0,19.8,23.7,0.4,58.3,Norte,Juan Santamaria,Alajuela,Costa Rica
2024-02-03,31.2,19.4,23.7,3.8,37.4,Norte,Juan Santamaria,Alajuela,Costa Rica
2024-02-04,30.0,18.8,23.4,0.0,41.0,Norte,Juan Santamaria,Alajuela,Costa Rica
2024-02-05,30.1,15.9,22.9,0.0,41.4,Norte,Juan Santamaria,Alajuela,Costa Rica
2024-02-06,30.1,15.9,23.3,0.0,46.8,Norte,Juan Santamaria,Alajuela,Costa Rica
2024-02-07,30.2,17.6,22.1,0.0,91.1,Norte,Juan Santamaria,Alajuela,Costa Rica
2024-02-08,29.8,18.5,22.8,0.0,88.2,Norte,Juan Santamaria,Alajuela,Costa Rica
2024-02-09,31.0,19.4,23.6,0.0,76.7,Norte,Juan Santamaria,Alajuela,Costa Rica
2024-02-10,32.7,19.1,23.7,0.0,66.2,Norte,Juan Santamaria,Alajuela,Costa Rica
2024-02-11,31.8,19.5,24.9,0.1,58.7,Norte,Juan Santamaria,Alajuela,Costa Rica
2024-02-12,31.9,17.0,23.6,0.0,37.8,Norte,Juan Santamaria,Alajuela,Costa Rica
2024-02-13,31.6,17.0,24.2,0.0,95.8,Norte,Juan Santamaria,Alajuela,Costa Rica
2024-02-14,31.6,17.0,23.7,0.0,127.8,Norte,Juan Santamaria,Alajuela,Costa Rica
2024-02-15,30.8,20.6,23.3,0.0,121.3,Norte,Juan Santamaria,Alajuela,Costa Rica
2024-02-16,30.7,20.8,24.6,0.5,86.8,Norte,Juan Santamaria,Alajuela,Costa Rica
2024-02-17,32.0,22.0,24.7,2.5,56.2,Norte,Juan Santamaria,Alajuela,Costa Rica
2024-02-18,32.0,22.0,24.4,2.8,33.8,Norte,Juan Santamaria,Alajuela,Costa Rica
2024-02-19,32.5,21.0,24.8,1.8,112.0,Norte,Juan Santamaria,Alajuela,Costa Rica
2024-02-20,29.4,21.7,24.2,0.3,100.8,Norte,Juan Santamaria,Alajuela,Costa Rica
2024-02-21,29.3,20.9,23.2,0.0,95.0,Norte,Juan Santamaria,Alajuela,Costa Rica
2024-02-22,29.0,18.0,21.8,0.0,89.6,Norte,Juan Santamaria,Alajuela,Costa Rica
2024-02-23,30.0,17.0,22.4,0.0,51.8,Norte,Juan Santamaria,Alajuela,Costa Rica
2024-02-24,30.9,17.1,23.3,0.0,50.4,Norte,Juan Santamaria,Alajuela,Costa Rica
2024-02-25,31.2,17.1,21.9,0.0,101.9,Norte,Juan Santamaria,Alajuela,Costa Rica
2024-02-26,31.2,17.1,22.7,0.0,86.4,Norte,Juan Santamaria,Alajuela,Costa Rica
2024-02-27,30.7,18.5,23.7,0.0,90.4,Norte,Juan Santamaria,Alajuela,Costa Rica
2024-02-28,30.7,19.5,24.2,0.0,105.1,Norte,Juan Santamaria,Alajuela,Costa Rica
2024-02-29,30.0,20.3,24.0,0.0,111.2,Norte,Juan Santamaria,Alajuela,Costa Rica
2024-03-01,30.8,19.9,23.7,0.0,85.3,Norte,Juan Santamaria,Alajuela,Costa Rica
2024-03-02,30.8,18.6,24.2,0.0,64.1,Norte,Juan Santamaria,Alajuela,Costa Rica
2024-03-03,31.8,18.6,23.9,0.0,59.0,Norte,Juan Santamaria,Alajuela,Costa Rica
2024-03-04,32.1,19.0,24.5,0.0,50.0,Norte,Juan Santamaria,Alajuela,Costa Rica
2024-03-05,31.0,19.0,24.5,0.0,50.4,Norte,Juan Santamaria,Alajuela,Costa Rica
2024-03-06,33.1,19.1,24.6,0.2,44.3,Norte,Juan Santamaria,Alajuela,Costa Rica
2024-03-07,33.1,19.1,25.1,0.5,41.0,Norte,Juan Santamaria,Alajuela,Costa Rica
2024-03-08,33.2,19.1,25.1,1.9,42.1,Norte,Juan Santamaria,Alajuela,Costa Rica
2024-03-09,32.0,17.9,24.2,0.7,36.7,Norte,Juan Santamaria,Alajuela,Costa Rica
2024-03-10,31.7,17.7,24.3,0.0,65.2,Norte,Juan Santamaria,Alajuela,Costa Rica
2024-03-11,31.7,17.7,25.1,0.0,115.6,Norte,Juan Santamaria,Alajuela,Costa Rica
2024-03-12,31.3,21.4,24.8,0.0,112.7,Norte,Juan Santamaria,Alajuela,Costa Rica
2024-03-13,30.0,21.0,24.2,0.0,96.8,Norte,Juan Santamaria,Alajuela,Costa Rica
2024-03-14,31.2,20.5,25.0,1.9,79.2,Norte,Juan Santamaria,Alajuela,Costa Rica
2024-03-15,32.3,21.2,25.4,0.0,82.4,Norte,Juan Santamaria,Alajuela,Costa Rica
2024-03-16,31.9,21.7,25.3,1.6,70.6,Norte,Juan Santamaria,Alajuela,Costa Rica
2024-03-17,31.9,21.7,25.3,1.4,63.7,Norte,Juan Santamaria,Alajuela,Costa Rica
2024-03-18,33.6,20.2,25.8,2.3,49.0,Norte,Juan Santamaria,Alajuela,Costa Rica
2024-03-19,34.3,20.2,26.0,0.6,59.8,Norte,Juan Santamaria,Alajuela,Costa Rica
2024-03-20,33.1,21.1,25.6,0.1,69.8,Norte,Juan Santamaria,Alajuela,Costa Rica
2024-03-21,31.4,20.4,25.2,2.3,68.8,Norte,Juan Santamaria,Alajuela,Costa Rica
2024-03-22,31.4,18.5,25.1,0.8,48.6,Norte,Juan Santamaria,Alajuela,Costa Rica
2024-03-23,31.9,18.5,25.1,1.2,40.0,Norte,Juan Santamaria,Alajuela,Costa Rica
2024-03-24,32.5,18.2,25.4,0.0,49.3,Norte,Juan Santamaria,Alajuela,Costa Rica
2024-03-25,33.4,18.2,24.8,4.0,43.6,Norte,Juan Santamaria,Alajuela,Costa Rica
2024-03-26,33.1,18.3,23.6,3.9,36.4,Norte,Juan Santamaria,Alajuela,Costa Rica
2024-03-27,31.8,19.7,24.1,3.2,34.6,Norte,Juan Santamaria,Alajuela,Costa Rica
2024-03-28,30.0,21.0,24.8,1.4,34.2,Norte,Juan Santamaria,Alajuela,Costa Rica
2024-03-29,31.0,21.0,24.9,0.0,103.3,Norte,Juan Santamaria,Alajuela,Costa Rica
2024-03-30,30.0,19.0,24.0,0.0,75.6,Norte,Juan Santamaria,Alajuela,Costa Rica
2024-03-31,33.0,18.0,24.5,0.0,72.0,Norte,Juan Santamaria,Alajuela,Costa Rica
2024-04-01,32.1,19.0,30.4,0.0,59.8,Norte,Juan Santamaria,Alajuela,Costa Rica
2024-04-02,33.3,17.9,26.8,0.0,57.6,Norte,Juan Santamaria,Alajuela,Costa Rica
2024-04-03,32.5,16.1,24.0,0.2,37.1,Norte,Juan Santamaria,Alajuela,Costa Rica
2024-04-04,31.9,18.4,24.3,1.0,37.4,Norte,Juan Santamaria,Alajuela,Costa Rica
2024-04-05,33.0,20.0,25.1,6.1,57.6,Norte,Juan Santamaria,Alajuela,Costa Rica
